Outcome 2 Result 2b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
48474 patients in Cohort 1 and 137931 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
89,0.9940182178901485,0.993816100811979,0.9942137481398969,0.9915978739712459,0.9915077650653219,0.9916870307685025
90,0.993988929351608,0.9937863000631721,0.9941849702313089,0.9915541788920914,0.991463815141551,0.9916435900919147
91,0.9939248220678645,0.9937210756351512,0.99412197665184,0.9914824904657372,0.9913917098464702,0.9915723178127469
92,0.993878994921108,0.9936744531462475,0.9940769423994589,0.9914259644283135,0.991334856144775,0.9915161188729795
93,0.9938404492866117,0.9936352401173002,0.9940390620763471,0.9913812769571966,0.9912899100462818,0.9914716895780034
94,0.9938147316780717,0.993609078112206,0.9940137874684738,0.9913407051273458,0.991249103782589,0.9914313517711258
95,0.993777967433647,0.9935716798775861,0.993977655214664,0.9913042670918029,0.9912124555253958,0.991395123587787
96,0.9937411805981534,0.9935342602882464,0.9939414991348835,0.991264178343515,0.9911721358651358,0.9913552653449033
97,0.9936896488879394,0.9934818450503945,0.9938908481664565,0.9912201541450134,0.9911278585549124,0.9913114938119951
98,0.9936399261005333,0.9934312728946569,0.9938419720756083,0.9911643802456132,0.9910717647466468,0.9912560392579804
99,0.993592011063368,0.9933825421739956,0.9937948701570345,0.9911180432959735,0.9910251626266358,0.9912099670114518
100,0.9935569597566939,0.993346895620821,0.9937604122095302,0.9910797478594393,0.9909866483181029,0.9911718900585853
101,0.9935218839620271,0.9933112254911031,0.9937259288590331,0.9910428142010498,0.990949503866872,0.9911351668178774
102,0.9934923289321601,0.993281170720329,0.9936968719767192,0.9910064100908244,0.9909128922943047,0.9910989698001299
103,0.9934701505363629,0.99325861791102,0.9936750667969722,0.9909674554143084,0.9908737159726207,0.9910602363732394
104,0.9934331663839789,0.9932210105782425,0.9936387038279336,0.9909231405310819,0.9908291494004712,0.9910161727295618
105,0.9933869089843272,0.9931739759522425,0.9935932211653603,0.9908692457226655,0.9907749491812213,0.9909625827871276
106,0.9933517305583044,0.9931382080330922,0.9935586303428712,0.9908290683617913,0.9907345445975019,0.9909226322434298
107,0.9933165217477808,0.9931024103901567,0.9935240084651592,0.9907936252801661,0.9906989012952626,0.9908873890230512
108,0.9932887067934875,0.9930741311308824,0.993496656312453,0.9907558965390686,0.9906609597005774,0.9908498727524007
109,0.993264587892321,0.993049610251621,0.9934729380845054,0.9907212376403808,0.990626105546749,0.9908154087569042
110,0.9932441685686224,0.9930288510312069,0.9934528575499292,0.9906862703980291,0.9905909415809827,0.9907806378828918
111,0.9932255958279645,0.993009969449979,0.9934345926391536,0.9906501497332415,0.9905546180001417,0.9907447197676695
112,0.9931902895310379,0.9929740770147387,0.9933998705585483,0.9906066594023739,0.9905108837588523,0.9907014729065485
113,0.9931400881202207,0.9929230445300706,0.9933504974991064,0.9905659577403929,0.9904699542080645,0.990660998721177
114,0.993101007093103,0.9928833182123706,0.9933120596393783,0.9905336986982015,0.9904375147353213,0.9906289197815485
115,0.9930656247295411,0.9928473529503026,0.9932772582528011,0.9905014109604298,0.9904050465945446,0.9905968121178196
116,0.9930339481139727,0.992815155543924,0.9932461007084501,0.9904693816288253,0.9903728385087559,0.9905649612138041
117,0.9930041213406854,0.9927848393455256,0.9932167617443987,0.9904373288886876,0.9903406070946247,0.9905330868207136
118,0.9929463035294965,0.9927260755644911,0.9931598867886278,0.9903975885752561,0.9903006455650902,0.990493567318269
119,0.992895920150474,0.9926748708671165,0.9931103220375241,0.9903410597945722,0.9902438027861713,0.9904373519616462
120,0.9928641788489027,0.9926426134629729,0.9930790951485454,0.990306374570048,0.9902089252519958,0.9904028586950243
